cliente;frecuencia;recencia;ticket_promedio;ticket;cl_value
1023830776;33;5;211824.2969213793;30714523.053600002;6990201.798405517
1023952350;8;46;136540.27889655172;3959668.088;1092322.2311724138
1025642453;6;27;715719.528;9304353.864;4294317.1680000005
1028017164;47;19;305633.837968;76408459.492;14364790.384496
1032258178;41;13;129573.25415612904;20083854.3942;5312503.420401291
1033656240;17;28;138875.09103225806;4305127.822;2360876.547548387
1035226599;25;60;147728.75692307693;5761421.5200000005;3693218.923076923
1035233292;8;12;183560.723;4405457.352;1468485.784
1035304884;32;18;213517.7285634518;42062992.527;6832567.314030457
1035388580;26;0;172004.91375925927;9288265.343;4472127.757740742
1035421168;40;8;331390.69395943393;35127413.5597;13255627.758377358
1035833243;19;26;117849.50638571428;3299786.1788;2239140.6213285713
1036220498;12;29;123078.25324137931;3569269.344;1476939.0388965518
1036395628;6;83;221448.66253846153;5757665.226;1328691.9752307693
1036422210;31;14;165458.67572093022;7114723.056;5129218.947348837
1036622793;11;5;122977.2635;2459545.27;1352749.8985000001
1036629145;19;6;148086.44586666668;4442593.376;2813642.471466667
1037498249;12;27;182529.3554727273;10039114.551;2190352.2656727275
1037572148;9;8;269836.97688888886;4857065.584;2428532.792
1037641547;2;76;544851.53825;1089703.0765;1089703.0765
1037750031;4;11;137515.86500000002;1650190.3800000001;550063.4600000001
1038334816;50;13;328115.45061927143;279226248.477;16405772.530963572
1038359794;39;18;125324.77847323529;42610424.6809;4887666.360456176
1038405607;13;27;232399.69275;3718395.084;3021196.00575
1038408340;28;6;140059.499134375;17927615.8892;3921665.9757624995
1038408856;4;1;308086.3598;2464690.8784;1232345.4392
1038409477;43;29;137405.13054054053;15251969.49;5908420.613243243
1038626241;25;5;171717.424;7899001.504;4292935.6
1038626256;21;12;159588.76669148935;7500672.0345;3351364.1005212762
1038626572;46;12;158683.5685224719;14122837.5985;7299444.152033708
1038626750;40;26;201750.52629850747;13517285.262;8070021.051940299
1038815956;5;13;136694.40000000002;1230249.6;683472.0000000001
1038822341;38;15;302983.3826629213;53931042.114;11513368.54119101
1039286900;11;13;155223.4425;2483575.08;1707457.8675000002
1039686879;24;39;203121.9419509804;10359219.0395;4874926.60682353
1039699225;23;0;190472.2416;6666528.456;4380861.5568
1040043781;4;20;147394.90618181817;1621343.9679999999;589579.6247272727
1040360295;13;46;231802.974825;5563271.3958;3013438.672725
1040804183;38;0;165918.206824;20739775.853;6304891.859312
1041087282;8;70;136174.29217391304;3132008.72;1089394.3373913043
1041203238;4;26;133811.878;2007178.17;535247.512
1041204775;34;9;320276.7735300971;32988507.6736;10889410.3000233
1041229288;12;46;131711.094;3556199.538;1580533.128
1041230130;14;20;233769.03602499998;9350761.441;3272766.5043499996
1041232658;23;21;133913.09342982457;7633046.3255;3080001.1488859653
1041233847;11;18;138829.4165882353;2360100.082;1527123.5824705884
1041259798;2;20;130587.92;522351.68;261175.84
1042463959;28;29;117482.36650916032;15390190.0127;3289506.262256489
1042762351;21;40;140830.81264705883;4788247.63;2957447.0655882354
1042768716;69;6;228971.1889986207;33200822.4048;15799012.040904827
1042772839;16;83;324802.6801290323;10068883.084;5196842.882064517
1045017223;34;14;116572.28206555892;38585425.3637;3963457.590229003
1045018114;12;69;130947.004;3535569.108;1571364.048
1045018117;26;42;521544.36203636363;28684939.912;13560153.412945455
1045018336;16;11;574815.89955;20693372.3838;9197054.3928
1045022201;15;47;139536.71445454544;4604711.577;2093050.7168181816
1045022830;25;50;286579.99133333337;10316879.688000001;7164499.783333334
1045047411;48;12;120896.36751048952;17288180.554;5803025.640503497
1045110715;21;26;229612.57748571425;8036440.211999999;4821864.127199999
1045144098;20;14;155901.23058823528;5300641.84;3118024.6117647057
1045489219;34;7;158894.8130420354;35910227.7475;5402423.643429204
1046902118;27;6;144431.348622093;24842191.963;3899646.4127965113
1046902680;37;14;193402.36655528456;23788491.0863;7155887.562545529
1047407946;33;20;312807.52390927833;30342329.819199998;10322648.289006185
1047966455;15;11;126582.94181818183;5569649.44;1898744.1272727274
