cliente;frecuencia;recencia;ticket_promedio;ticket;cl_value
42941331;17;14;55689.735489795916;2728797.039;946725.5033265306
42993113;27;11;59089.36971084337;4904417.686;1595412.982192771
42997265;28;7;80561.4642105263;7653339.1;2255720.9978947365
43008748;24;15;57987.79313725491;2957377.45;1391707.0352941179
43046651;35;38;78584.34336310679;8094187.3664;2750452.0177087374
43061234;12;77;56676.03390909091;1246872.746;680112.4069090909
43072236;34;4;110293.82256571429;19301418.949;3749989.967234286
43092931;18;40;80797.8693375;3878297.7282;1454361.648075
43109607;32;6;66337.39251655628;10016946.27;2122796.560529801
43147690;17;27;55955.72231836735;2741830.3936;951247.2794122449
43150402;36;6;55778.97575769231;8701520.2182;2008043.127276923
43188657;19;40;72104.72416666667;1730513.38;1369989.7591666668
43258572;3;27;110644.30666666667;995798.76;331932.92000000004
43261631;19;39;66716.1328136;8339516.6016999995;1267606.5234583998
43267842;18;25;85478.63076190476;3590102.492;1538615.3537142857
43268302;6;27;110795.6929054054;4099440.6375;664774.1574324324
43280651;26;27;68103.60177730497;9602607.8506;1770693.6462099291
43402631;27;28;69931.0988245614;7972145.266;1888139.6682631578
43403814;32;10;115639.37953488373;4972493.32;3700460.1451162794
43404002;24;11;88449.9646147541;5395447.8415;2122799.150754099
43415715;18;13;57133.84573333333;4285038.43;1028409.2231999999
43416687;23;14;103963.51601904762;10916169.182;2391160.8684380953
43421111;12;14;61565.38467741936;1908526.925;738784.6161290323
43422450;34;13;55401.803148936175;10415538.992;1883661.3070638299
43459651;17;61;62269.50641304348;1432198.6475;1058581.609021739
43460898;12;82;60902.783200000005;1522569.58;730833.3984000001
43462513;10;13;58172.7908;1163455.816;581727.908
43470567;11;22;88287.73300000001;1589179.1940000001;971165.0630000001
43477371;7;69;66323.71666666666;795884.6;464266.0166666666
43477975;23;20;99193.2706557377;6050789.51;2281445.225081967
43480159;36;7;65784.45800833333;6315307.9688;2368240.4883
43483396;31;18;110861.23569620252;8758037.62;3436698.306582278
43490422;24;7;57834.621621212114;3817085.027;1388030.9189090908
43491586;23;28;60836.100703125;3893510.445;1399230.316171875
43511471;19;20;80598.61349361701;7576269.6684;1531373.6563787232
43593247;6;13;73641.66533333332;883699.9839999999;441849.99199999997
43596907;3;29;62684.11647058823;1065629.98;188052.3494117647
43620946;9;74;61567.159488;1539178.9871999999;554104.435392
43641537;7;83;103164.16186666666;1547462.4279999998;722149.1330666667
43642928;23;13;56017.57635324676;4313353.3792;1288404.2561246755
43645118;31;21;80100.09973831776;8570710.672;2483103.091887851
43645586;4;13;80270.79111111112;722437.12;321083.16444444447
43645698;37;0;72254.42391616767;12066488.794;2673413.6848982037
43645703;21;21;63423.316944186045;5454405.2572;1331889.655827907
43646304;24;42;65643.35746666667;3347811.2308;1575440.5792
43646447;23;53;78846.6189090909;4336564.04;1813472.2349090907
43646751;17;7;61800.062263157895;2348402.366;1050601.0584736841
43646752;25;61;56983.46744262295;3475991.514;1424586.6860655737
43668510;16;68;79755.50327659574;3748508.654;1276088.052425532
43671477;21;20;63533.996875;2033087.9;1334213.934375
43700170;33;19;74819.02446064516;11596948.7914;2469027.8072012905
43700833;24;26;60982.535164835164;5549410.7;1463580.843956044
43703020;5;60;101107.88133333332;1213294.576;505539.4066666666
43716646;12;5;73059.79411764706;1242016.5;876717.5294117648
43732344;37;11;75044.55545517242;8705168.4328;2776648.5518413796
43737223;9;19;60465.75686666667;906986.353;544191.8118
43737522;16;83;89758.8175;1436141.08;1436141.08
43752718;14;55;57352.7327027027;2122051.11;802938.2578378378
43788799;16;0;81246.66514285713;2843633.28;1299946.6422857142
43795287;14;25;105721.41183181819;4651742.1206;1480099.7656454546
43802889;8;7;65885.79894736841;1251830.18;527086.3915789473
43813869;38;18;63684.176737113405;6177365.1435;2419998.7160103093
43847390;27;41;56844.44784545455;2501155.7052;1534800.091827273
43855685;20;26;106904.76267826087;7376428.6248;2138095.2535652174
43857157;31;11;59080.512904761905;3722072.313;1831495.9000476191
