;cliente;frecuencia;recencia;ticket_promedio;ticket;cl_value;cluster;pca1;pca2
6243;1035225596;19;22;20635.349625;660331.188;392071.64287499996;1;0.7106945390947768;0.5363095015409153
6244;1035225623;17;4;18518.00288888889;1666620.26;314806.0491111111;2;0.06888737925244232;0.08927117478369476
6245;1035225720;9;25;20374.856875;325997.71;183373.711875;2;-0.8448283101250619;0.9782408753067067
6246;1035226173;21;2;19490.30885;779612.354;409296.48585000006;1;0.8148362716861862;0.13894320030710816
6247;1035227319;10;25;15950.078333333331;287101.41;159500.78333333333;0;-1.2780959206262454;-0.23107442668360062
6248;1035228389;5;87;13552.173666666667;81313.042;67760.86833333333;0;-2.218017907671966;-0.6162189782893792
6249;1035228958;6;57;14295.17875;114361.43;85771.0725;0;-2.006808560582819;-0.4691784186515793
6250;1035229513;12;7;15107.6328;377690.82;181291.5936;0;-1.1279890212617254;-0.5497660813552732
6251;1035229519;5;77;9240.365;92403.65;46201.825;0;-2.7036290447803335;-1.7526351426700186
6252;1035232500;9;23;12842.902142857143;179800.63;115586.11928571429;0;-1.8103964771681347;-0.9962451009938184
6253;1035232836;28;11;16178.320973684211;1229552.394;452992.9872631579;1;1.17954844275502;-1.0614126804237571
6254;1035235661;29;18;14140.339836065574;862560.73;410069.8552459016;1;0.8944635978803168;-1.6307350215935643
6255;1035236201;19;56;12899.601724137932;374088.45;245092.4327586207;0;-0.5821651492462829;-1.4643094537388193
6256;1035303579;7;38;19851.067272727272;218361.74;138957.47090909092;2;-1.2102951995584488;0.9424209655845319
6257;1035304117;17;1;22419.932133333336;672597.964;381138.8462666667;2;0.6906270480035884;1.1011411574275076
6258;1035304296;2;44;18117.595999999998;90587.98;36235.191999999995;2;-2.131076354138536;0.7374403429888089
6259;1035304618;8;11;15156.333333333334;181876.0;121250.66666666667;0;-1.6447054415691236;-0.34069505968798264
6260;1035304936;17;11;22940.396200000003;1147019.81;389986.73540000006;2;0.7735586277770913;1.2361107924752368
6261;1035305568;11;23;18632.54;204957.94;204957.94;2;-0.7793555912048393;0.4208655420555042
6262;1035388201;6;64;15149.291666666666;272687.25;90895.75;0;-1.9072901351803915;-0.24437055875395983
6263;1035388295;13;16;20205.45888888889;363698.26;262670.9655555556;2;-0.264387582868795;0.7303525987300503
6264;1035388425;4;14;20097.54333333333;120585.26;80390.17333333332;2;-1.6309743271934332;1.1597045517923839
6265;1035389152;16;15;14698.020250000001;587920.81;235168.32400000002;0;-0.6688926048629928;-0.8524206911607496
6266;1035389433;27;16;22547.6575;2254765.75;608786.7525000001;1;2.3075571182490084;0.6172981764810993
6267;1035389967;37;11;17821.080962616823;1906855.663;659379.9956168225;1;2.7829673800941115;-1.0920395521008084
6268;1035392157;4;42;20160.829999999998;282251.62;80643.31999999999;2;-1.6240931449409008;1.1764066519953944
6269;1035416085;14;63;20507.08663414634;840790.552;287099.21287804877;2;-0.06930937286744139;0.75802137807292
6270;1035416261;11;15;21840.627739130436;502334.438;240246.90513043478;2;-0.34311157445976287;1.2595953819225112
6271;1035419634;19;14;22621.751;723896.032;429813.26900000003;1;1.0426777287636855;1.0500325823015833
6272;1035420542;14;16;23688.510315789474;450081.696;331639.14442105265;2;0.40046628991789707;1.5864129791266464
6273;1035422780;30;42;19807.607528455283;2436335.726;594228.2258536585;1;2.211249257463985;-0.2357898243258163
6274;1035424828;14;18;10106.739657894737;384056.107;141494.35521052632;0;-1.6050463204979644;-1.950061840419252
6275;1035425407;21;46;15790.574590163935;963225.05;331602.0663934426;0;0.1676998623114555;-0.8152715334365265
6276;1035425621;24;46;18443.963735849055;977530.078;442655.1296603773;1;1.0628598228643804;-0.28167066954686426
6277;1035429558;15;2;18362.46751851852;495786.62299999996;275437.0127777778;2;-0.24262416468138404;0.1493769756411123
6278;1035430579;17;16;14962.76304347826;344143.55;254366.97173913041;0;-0.49761024418952216;-0.8326933856429881
6279;1035432692;17;16;19497.612962962965;526435.55;331459.4203703704;2;0.22498002081617205;0.34330910488259686
6280;1035435057;5;73;20209.956142857143;282939.386;101049.78071428572;2;-1.4681949055807288;1.1384997974679127
6281;1035437759;24;18;19031.81680597015;1275131.726;456763.6033432836;1;1.1725495682657372;-0.13067706554427405
6282;1035438025;16;49;20187.23408235294;686365.9588;322995.74531764706;2;0.18439708177807074;0.5730092960064814
6283;1035441872;15;21;16131.954516129033;500090.59;241979.3177419355;0;-0.580670143099758;-0.43062586236176165
6284;1035443129;6;80;17385.84857142857;121700.94;104315.09142857142;0;-1.6466938871415655;0.34430520236322343
6285;1035443283;13;25;22985.405681481483;620605.9534;298810.27385925927;2;0.13528235203086506;1.4551868079009902
6286;1035443709;7;66;17923.057714285715;250922.808;125461.40400000001;2;-1.4424466002102123;0.43563697824765385
6287;1035831381;2;15;15699.919;188399.028;31399.838;0;-2.375126385462273;0.09768090836957892
6288;1035831582;13;85;18068.617407407408;975705.34;234892.0262962963;2;-0.571598964780937;0.17319955915377155
6289;1035833638;9;38;12239.130000000001;159108.69;110152.17000000001;0;-1.8877977869240654;-1.1545226891297176
6290;1035851004;17;2;19744.366590909092;868752.13;335654.23204545456;2;0.26429813995449386;0.40729862739447814
6291;1035852548;7;70;14193.219230769231;184511.85;99352.53461538462;0;-1.8915560065209942;-0.5447639800997293
6292;1035852925;12;3;21690.87076923077;281981.32;260290.44923076924;2;-0.2071537201249133;1.1690482978869536
6293;1035852993;2;14;17310.920000000002;51932.76;34621.840000000004;0;-2.2125054710421197;0.5239798262692885
6294;1035855181;3;37;17203.75525;172037.5525;51611.26574999999;0;-2.0844700340258826;0.44581090088480874
6295;1035858141;10;18;15111.07375;241777.18;151110.7375;0;-1.3889195308900133;-0.45072170806036516
6296;1035858647;12;8;19158.366276923076;996235.0464;229900.39532307693;2;-0.561389667192914;0.5078379395163568
6297;1035860179;14;78;13061.983333333334;274301.65;182867.76666666666;0;-1.1686688696315901;-1.1805638782565728
6298;1035864294;16;18;17421.75912;435543.978;278748.14592;2;-0.24549166661276156;-0.1451246773622199
6299;1035864581;43;14;20676.864603174603;2605284.94;889105.177936508;1;4.374620640137369;-0.6778309928153595
6300;1035869158;25;1;20873.471757575757;688824.568;521836.79393939395;1;1.669330903267104;0.2912572014674287
6301;1035876003;8;36;20769.847;207698.47;166158.776;2;-0.9469285546698084;1.1328560487750818
6302;1035876010;13;24;21365.566363636364;470042.46;277752.36272727273;2;-0.09760018961925726;1.0328352168335668
6303;1035876734;9;23;11399.498461538462;148193.48;102595.48615384616;0;-1.9954353809372216;-1.3746303181462671
6304;1035911876;12;20;22416.670833333334;538000.1;269000.05;2;-0.10563189701647478;1.3585470813830312
6305;1035912744;19;64;15296.173230769233;596550.756;290627.2913846154;0;-0.1816310663290876;-0.844508182382034
6306;1035912931;15;11;18308.94193548387;567577.2;274634.129032258;2;-0.25073624834463953;0.135458657284484
6307;1035914548;14;10;17730.471034482758;514183.66;248226.5944827586;2;-0.47931022913767046;0.03503529627946765
6308;1035914571;9;79;17811.443571428572;498720.42;160302.99214285714;2;-1.1734482199527867;0.3062475084634089
6309;1035916744;17;36;18981.852484848485;626401.132;322691.4922424242;2;0.14279791839225023;0.20955923056565012
6310;1035918567;21;14;22292.493777777778;1003162.22;468142.36933333334;1;1.3049784725064282;0.8616670385533652
6311;1035918572;20;2;18095.70575;723828.23;361914.115;1;0.42857465916818893;-0.17061908053700073
6312;1035971306;8;17;16577.385625;265238.17;132619.085;0;-1.4680643032232172;0.03233212148797704
6313;1035971472;49;8;11142.13990340909;1961016.623;545964.8552670454;1;2.5817387678932007;-3.3490078108380383
6314;1035971597;19;9;23291.14054054054;861772.2;442531.6702702702;1;1.154551430421616;1.2231500908390776
6315;1035972515;14;25;15969.739210526315;606850.09;223576.34894736842;0;-0.7393035661958681;-0.42343097562563264
6316;1036133004;11;46;12848.257391304347;295509.92;141330.8313043478;0;-1.5659172080919288;-1.0913906119647179
6317;1036220206;30;3;23219.784303225806;2879253.2536;696593.5290967742;1;2.9276454857071825;0.6334256479129936
6318;1036220981;12;11;20709.682500000003;414193.65;248516.19000000003;2;-0.3443981581342829;0.9128703329128736
6319;1036223089;3;4;10588.231111111112;95294.08;31764.693333333336;0;-2.7780230000829444;-1.302438093478899
6320;1036224863;23;4;18662.015604545453;821128.6866;429226.3589045454;1;0.9590166157720849;-0.175337006367055
6321;1036252995;4;1;19327.75;154622.0;77311.0;2;-1.7146742359175071;0.9565469821788353
6322;1036336954;31;10;19821.200545454547;1090166.03;614457.216909091;1;2.3631463935038677;-0.28306182462408996
6323;1036338537;14;7;19442.683589743592;758264.66;272197.5702564103;2;-0.2264813485902029;0.48086793032343517
6324;1036362234;23;17;14696.536054054055;543771.834;338020.32924324326;0;0.23452096476349402;-1.1952933112611486
6325;1036393436;16;35;15445.851739130434;355254.58999999997;247133.62782608694;0;-0.5526433720021008;-0.6582250444778597
6326;1036395803;24;10;23098.30710526316;877735.67;554359.3705263159;1;1.9313314957202485;0.9138254762309009
6327;1036397255;26;9;13655.777872340424;641821.5599999999;355050.22468085104;0;0.4194943482158024;-1.6086642153868531
6328;1036397966;14;10;19099.544285714288;668484.05;267393.62000000005;2;-0.2771500146054161;0.39151996982089493
6329;1036398001;21;59;16261.698055555556;585421.13;341495.6591666667;0;0.2501060910710376;-0.6937620085581196
6330;1036398061;7;9;16812.332440000002;252184.9866;117686.32708000002;0;-1.576188897822664;0.1436789944950417
6331;1036399921;29;7;19561.368390804597;1701839.05;567279.6833333333;1;2.0115189774426003;-0.2478735967480642
6332;1036401059;33;10;15935.56672413793;924262.87;525873.7018965518;1;1.8000506695978815;-1.3702423160882489
6333;1036401376;16;7;19805.21363636364;653572.05;316883.4181818182;2;0.1250126022142707;0.47380685717732507
6334;1036402565;18;37;21706.064000000002;868242.56;390709.15200000006;2;0.7332594957171866;0.8646172673909326
6335;1036402630;13;37;20391.9296;509798.24;265095.0848;2;-0.2375788910013631;0.7789723603679024
6336;1036403365;30;9;18718.161694915256;1104371.54;561544.8508474577;1;1.9825170030877937;-0.5133144771166388
6337;1036403963;15;10;15643.760799999998;391094.01999999996;234656.41199999998;0;-0.6546584687673275;-0.5575714307340038
6338;1036404515;4;57;15199.602499999999;121596.81999999999;60798.409999999996;0;-2.163529212945344;-0.132919991345985
6339;1036422441;16;45;20606.534347826087;473950.29;329704.5495652174;2;0.2495766508495733;0.6818924968229466
6340;1036423127;42;16;16799.01450515464;1629504.407;705558.6092164948;1;3.226914810626466;-1.5982183938637786
6341;1036423180;26;11;21496.802816666666;1160827.3521;558916.8732333333;1;1.943634009215793;0.3998178236426943
6342;1036598144;17;8;16503.10892857143;462087.05;280552.85178571433;0;-0.2521690584674643;-0.4332423278787129
6343;1036598228;30;9;12927.44187804878;2120100.468;387823.25634146336;1;0.7667388915052604;-1.9884383034778141
6344;1036600605;8;22;13024.310909090911;143267.42;104194.48727272729;0;-1.9097223379955641;-0.9003523782700635
6345;1036602397;6;60;19030.107500000002;228361.29;114180.64500000002;2;-1.4551102495074184;0.7770844328802998
6346;1036602625;5;57;19510.15166666667;234121.82;97550.75833333335;2;-1.5470093599565757;0.9540599996640873
6347;1036605852;10;35;10186.562272727273;224104.37;101865.62272727273;0;-2.0393952869680927;-1.739934639167672
6348;1036605967;15;2;19211.884074074074;518720.87;288178.2611111111;2;-0.11389061760053963;0.370251730615
6349;1036606149;7;36;20767.47666666667;311512.15;145372.33666666667;2;-1.099950453889537;1.1833023474532915
